# This file contains frame element data, the format is:
# sprite x y flipped next
450 -10 -22 f 2645
714 -2 0 n 2646
714 -9 0 n 0
271 -8 -14 f 2648
43 -10 -29 f 2649
450 -10 -23 f 2650
723 -20 -22 f 2651
714 -5 0 n 2652
714 -3 0 n 0
272 -7 -13 f 2654
43 -10 -28 f 2655
450 -10 -22 f 2656
714 -2 0 n 2657
714 -9 0 n 0
273 -7 -14 f 2659
44 -8 -29 f 2660
451 -9 -23 f 2661
714 -5 -1 n 2662
714 -2 0 n 0
274 -7 -15 f 2664
44 -8 -28 f 2665
451 -9 -22 f 2666
714 -5 0 n 0
275 -7 -16 f 2668
44 -8 -29 f 2669
451 -9 -23 f 2670
724 -19 -16 f 2671
714 -3 -1 n 2672
714 -7 -2 n 0
276 -7 -15 f 2674
44 -8 -28 f 2675
451 -9 -22 f 2676
714 -1 0 n 2677
714 -9 0 n 0
45 -8 -30 n 2679
277 -8 -15 n 2680
456 -8 -24 n 2681
714 -8 0 n 2682
714 -5 -1 n 0
278 -8 -17 n 2684
45 -8 -31 n 2685
456 -8 -25 n 2686
714 -8 -1 n 2687
714 -5 -2 n 0
279 -8 -16 n 2689
45 -8 -30 n 2690
456 -8 -24 n 2691
725 -8 -18 n 2692
714 -5 0 n 2693
714 -8 -1 n 0
280 -8 -16 n 2695
45 -8 -31 n 2696
456 -8 -25 n 2697
714 -5 0 n 2698
714 -7 -1 n 0
273 -8 -14 n 2700
44 -7 -29 n 2701
451 -6 -23 n 2702
714 -6 -1 n 2703
714 -9 0 n 0
274 -8 -15 n 2705
44 -7 -28 n 2706
451 -6 -22 n 2707
714 -6 0 n 0
275 -8 -16 n 2709
44 -7 -29 n 2710
451 -6 -23 n 2711
724 4 -16 n 2712
714 -8 -1 n 2713
714 -4 -2 n 0
276 -8 -15 n 2715
44 -7 -28 n 2716
451 -6 -22 n 2717
714 -2 0 n 2718
714 -10 0 n 0
269 -7 -15 n 2720
43 -6 -30 n 2721
449 -5 -24 n 2722
714 -6 0 n 2723
714 -8 0 n 0
270 -8 -14 n 2725
43 -6 -29 n 2726
449 -5 -23 n 2727
714 -9 0 n 2728
714 -2 0 n 0
271 -7 -14 n 2730
43 -6 -30 n 2731
449 -5 -24 n 2732
723 6 -23 n 2733
714 -6 0 n 2734
714 -8 0 n 0
272 -8 -13 n 2736
43 -6 -29 n 2737
449 -5 -23 n 2738
714 -9 0 n 2739
714 -2 0 n 0
265 -8 -15 n 2741
42 -7 -29 n 2742
444 -7 -24 n 2743
714 -5 0 n 2744
714 -8 -1 n 0
266 -8 -14 n 2746
42 -7 -28 n 2747
444 -7 -23 n 2748
714 -6 0 n 0
267 -7 -15 n 2750
42 -7 -29 n 2751
444 -7 -24 n 2752
722 3 -23 n 2753
714 -7 0 n 2754
714 -4 1 n 0
268 -7 -15 n 2756
42 -7 -28 n 2757
444 -7 -23 n 2758
714 -9 0 n 2759
714 -2 0 n 0
261 -8 -15 n 2761
41 -6 -29 n 2762
443 -8 -25 n 2763
714 -4 0 n 2764
714 -7 -1 n 0
262 -7 -14 n 2766
41 -6 -28 n 2767
443 -8 -24 n 2768
714 -7 0 n 2769
714 -4 0 n 0
263 -7 -15 n 2771
738 -8 -31 n 2772
443 -8 -25 n 2773
41 -6 -29 n 2774
714 -8 0 n 2775
714 -4 -1 n 0
264 -8 -14 n 2777
41 -6 -28 n 2778
443 -8 -24 n 2779
714 -4 0 n 2780
714 -7 0 n 0
265 -8 -15 f 2782
42 -9 -29 f 2783
444 -9 -24 f 2784
714 -7 0 n 2785
714 -4 -1 n 0
266 -7 -14 f 2787
42 -9 -28 f 2788
444 -9 -23 f 2789
714 -5 0 n 0
267 -8 -15 f 2791
42 -9 -29 f 2792
444 -9 -24 f 2793
722 -19 -23 f 2794
714 -4 0 n 2795
714 -6 1 n 0
268 -8 -15 f 2797
42 -9 -28 f 2798
444 -9 -23 f 2799
714 -9 0 n 2800
714 -2 0 n 0
269 -8 -15 f 2802
43 -10 -29 f 2803
449 -11 -23 f 2804
714 -5 0 n 2805
714 -3 0 n 0
270 -7 -14 f 2807
43 -10 -28 f 2808
449 -11 -22 f 2809
714 -2 0 n 2810
714 -9 0 n 0
271 -8 -14 f 2812
43 -10 -29 f 2813
449 -11 -23 f 2814
723 -22 -22 f 2815
714 -5 0 n 2816
714 -3 0 n 0
272 -7 -13 f 2818
43 -10 -28 f 2819
449 -11 -22 f 2820
714 -2 0 n 2821
714 -9 0 n 0
273 -7 -14 f 2823
44 -8 -29 f 2824
452 -8 -23 f 2825
857 -17 -21 f 2826
724 -22 -16 f 2827
714 -5 -1 n 2828
714 -2 0 n 0
274 -7 -15 f 2830
44 -8 -28 f 2831
452 -8 -22 f 2832
857 -17 -20 f 2833
728 -24 -14 f 2834
714 -5 0 n 0
275 -7 -16 f 2836
44 -8 -29 f 2837
452 -8 -23 f 2838
857 -17 -21 f 2839
724 -21 -12 f 2840
714 -3 -1 n 2841
714 -6 -2 n 0
276 -7 -15 f 2843
44 -8 -28 f 2844
452 -8 -22 f 2845
857 -17 -20 f 2846
728 -20 -15 f 2847
714 -9 0 n 2848
714 -1 0 n 0
45 -8 -30 n 2850
277 -8 -15 n 2851
456 -8 -24 n 2852
858 -3 -19 n 2853
725 -10 -20 n 2854
714 -8 0 n 2855
714 -5 -1 n 0
278 -8 -17 n 2857
45 -8 -31 n 2858
456 -8 -25 n 2859
858 -3 -20 n 2860
738 -9 -19 n 2861
714 -8 -1 n 2862
714 -5 -2 n 0
279 -8 -16 n 2864
45 -8 -30 n 2865
456 -8 -24 n 2866
858 -3 -19 n 2867
725 -7 -16 n 2868
714 -5 0 n 2869
714 -8 -1 n 0
280 -8 -16 n 2871
45 -8 -31 n 2872
456 -8 -25 n 2873
858 -3 -20 n 2874
738 -5 -22 n 2875
714 -5 0 n 2876
714 -8 -1 n 0
273 -8 -14 n 2878
44 -7 -29 n 2879
451 -6 -23 n 2880
857 2 -21 n 2881
724 8 -16 n 2882
714 -6 -1 n 2883
714 -8 0 n 0
274 -8 -15 n 2885
44 -7 -28 n 2886
451 -6 -22 n 2887
857 2 -20 n 2888
728 7 -14 n 2889
714 -6 0 n 0
275 -8 -16 n 2891
44 -7 -29 n 2892
451 -6 -23 n 2893
857 2 -21 n 2894
724 7 -12 n 2895
714 -8 -1 n 2896
714 -5 -2 n 0
276 -8 -15 n 2898
44 -7 -28 n 2899
451 -6 -22 n 2900
857 2 -20 n 2901
728 9 -15 n 2902
714 -2 0 n 2903
714 -10 0 n 0
269 -7 -15 n 2905
43 -6 -30 n 2906
449 -5 -24 n 2907
856 2 -22 n 2908
723 13 -23 n 2909
714 -8 0 n 2910
714 -6 0 n 0
270 -8 -14 n 2912
43 -6 -29 n 2913
449 -5 -23 n 2914
856 2 -21 n 2915
737 15 -21 n 2916
714 -2 0 n 2917
714 -9 0 n 0
271 -7 -14 n 2919
43 -6 -30 n 2920
449 -5 -24 n 2921
856 2 -22 n 2922
723 13 -18 n 2923
714 -8 0 n 2924
714 -6 0 n 0
272 -8 -13 n 2926
43 -6 -29 n 2927
449 -5 -23 n 2928
856 2 -21 n 2929
737 15 -21 n 2930
714 -2 0 n 2931
714 -9 0 n 0
265 -8 -15 n 2933
42 -7 -29 n 2934
444 -7 -24 n 2935
722 5 -27 n 2936
855 2 -24 n 2937
714 -5 0 n 2938
714 -9 -1 n 0
266 -8 -14 n 2940
42 -7 -28 n 2941
444 -7 -23 n 2942
721 4 -25 n 2943
855 2 -23 n 2944
714 -6 0 n 0
267 -7 -15 n 2946
42 -7 -29 n 2947
444 -7 -24 n 2948
722 5 -22 n 2949
855 2 -24 n 2950
714 -7 0 n 2951
714 -4 1 n 0
268 -7 -15 n 2953
42 -7 -28 n 2954
444 -7 -23 n 2955
721 7 -25 n 2956
855 2 -23 n 2957
714 -2 0 n 2958
714 -9 0 n 0
261 -8 -15 n 2960
725 -8 -32 n 2961
443 -8 -25 n 2962
41 -6 -29 n 2963
714 -4 0 n 2964
714 -7 -1 n 0
262 -7 -14 n 2966
738 -9 -28 n 2967
443 -8 -24 n 2968
41 -6 -28 n 2969
714 -7 0 n 2970
714 -4 0 n 0
263 -7 -15 n 2972
443 -8 -25 n 2973
41 -6 -29 n 2974
714 -8 0 n 2975
714 -5 -1 n 0
264 -8 -14 n 2977
738 -3 -28 n 2978
443 -8 -24 n 2979
41 -6 -28 n 2980
714 -4 0 n 2981
714 -7 0 n 0
265 -8 -15 f 2983
42 -9 -29 f 2984
444 -9 -24 f 2985
722 -21 -27 f 2986
855 -18 -24 f 2987
714 -7 0 n 2988
714 -3 -1 n 0
266 -8 -14 f 2990
42 -9 -28 f 2991
444 -9 -23 f 2992
721 -21 -25 f 2993
855 -18 -23 f 2994
714 -6 0 n 0
267 -9 -15 f 2996
42 -9 -29 f 2997
444 -9 -24 f 2998
722 -21 -22 f 2999
855 -18 -24 f 3000
714 -5 0 n 3001
714 -7 1 n 0
268 -9 -15 f 3003
42 -9 -28 f 3004
444 -9 -23 f 3005
721 -23 -25 f 3006
855 -18 -23 f 3007
714 -10 0 n 3008
714 -3 0 n 0
269 -8 -15 f 3010
43 -10 -29 f 3011
449 -11 -23 f 3012
856 -18 -21 f 3013
723 -29 -22 f 3014
714 -5 0 n 3015
714 -3 0 n 0
270 -7 -14 f 3017
43 -10 -28 f 3018
449 -11 -22 f 3019
856 -18 -20 f 3020
737 -31 -21 f 3021
714 -2 0 n 3022
714 -9 0 n 0
271 -8 -14 f 3024
43 -10 -29 f 3025
449 -11 -23 f 3026
856 -18 -21 f 3027
723 -29 -18 f 3028
714 -5 0 n 3029
714 -3 0 n 0
272 -7 -13 f 3031
43 -10 -28 f 3032
449 -11 -22 f 3033
856 -18 -20 f 3034
737 -31 -18 f 3035
714 -2 0 n 3036
714 -9 0 n 0
273 -7 -14 f 3038
44 -8 -29 f 3039
451 -9 -23 f 3040
724 -19 -16 f 3041
714 -5 -1 n 3042
714 -2 0 n 0
274 -7 -15 f 3044
44 -8 -28 f 3045
451 -9 -22 f 3046
724 -19 -15 f 3047
714 -5 0 n 0
275 -7 -16 f 3049
44 -8 -29 f 3050
451 -9 -23 f 3051
728 -19 -17 f 3052
714 -3 -1 n 3053
714 -7 -2 n 0
276 -7 -15 f 3055
44 -8 -28 f 3056
451 -9 -22 f 3057
728 -19 -16 f 3058
714 -9 0 n 3059
714 -1 0 n 0
45 -8 -30 n 3061
277 -8 -15 n 3062
456 -8 -24 n 3063
738 -9 -20 f 3064
714 -8 0 n 3065
714 -5 -1 n 0
278 -8 -17 n 3067
45 -8 -31 n 3068
456 -8 -25 n 3069
738 -9 -21 f 3070
714 -8 -1 n 3071
714 -5 -2 n 0
279 -8 -16 n 3073
45 -8 -30 n 3074
456 -8 -24 n 3075
725 -8 -18 n 3076
714 -5 0 n 3077
714 -8 -1 n 0
280 -8 -16 n 3079
45 -8 -31 n 3080
456 -8 -25 n 3081
725 -7 -19 f 3082
714 -5 0 n 3083
714 -7 -1 n 0
273 -8 -14 n 3085
44 -7 -29 n 3086
451 -6 -23 n 3087
728 4 -17 n 3088
714 -6 -1 n 3089
714 -9 0 n 0
274 -8 -15 n 3091
44 -7 -28 n 3092
451 -6 -22 n 3093
728 4 -16 n 3094
714 -6 0 n 0
275 -8 -16 n 3096
44 -7 -29 n 3097
451 -6 -23 n 3098
724 4 -16 n 3099
714 -8 -1 n 3100
714 -5 -2 n 0
276 -8 -15 n 3102
44 -7 -28 n 3103
451 -6 -22 n 3104
724 4 -15 n 3105
714 -2 0 n 3106
714 -10 0 n 0
269 -7 -15 n 3108
43 -6 -30 n 3109
449 -5 -24 n 3110
737 8 -24 n 3111
714 -8 0 n 3112
714 -6 0 n 0
270 -8 -14 n 3114
43 -6 -29 n 3115
449 -5 -23 n 3116
737 8 -23 n 3117
714 -2 0 n 3118
714 -9 0 n 0
271 -7 -14 n 3120
43 -6 -30 n 3121
449 -5 -24 n 3122
723 6 -23 n 3123
714 -8 0 n 3124
714 -6 0 n 0
272 -8 -13 n 3126
43 -6 -29 n 3127
449 -5 -23 n 3128
723 6 -22 n 3129
714 -2 0 n 3130
714 -9 0 n 0
265 -8 -15 n 3132
42 -7 -29 n 3133
444 -7 -24 n 3134
721 4 -25 n 3135
714 -5 0 n 3136
714 -8 -1 n 0
266 -8 -14 n 3138
42 -7 -28 n 3139
444 -7 -23 n 3140
721 4 -24 n 3141
714 -6 0 n 0
267 -7 -15 n 3143
42 -7 -29 n 3144
444 -7 -24 n 3145
722 3 -23 n 3146
714 -7 0 n 3147
714 -6 1 n 0
268 -7 -15 n 3149
42 -7 -28 n 3150
444 -7 -23 n 3151
722 3 -22 n 3152
714 -2 0 n 3153
714 -9 0 n 0
261 -8 -15 n 3155
41 -6 -29 n 3156
443 -8 -25 n 3157
714 -4 0 n 3158
714 -7 -1 n 0
262 -7 -14 n 3160
41 -6 -28 n 3161
443 -8 -24 n 3162
714 -7 0 n 3163
714 -4 0 n 0
263 -7 -15 n 3165
738 -8 -31 n 3166
443 -8 -25 n 3167
41 -6 -29 n 3168
714 -8 0 n 3169
714 -5 -1 n 0
264 -8 -14 n 3171
41 -6 -28 n 3172
443 -8 -24 n 3173
714 -4 0 n 3174
714 -7 0 n 0
265 -8 -15 f 3176
42 -9 -29 f 3177
444 -9 -24 f 3178
721 -20 -25 f 3179
714 -7 0 n 3180
714 -4 -1 n 0
266 -7 -14 f 3182
42 -9 -28 f 3183
444 -9 -23 f 3184
721 -20 -24 f 3185
714 -5 0 n 0
267 -8 -15 f 3187
42 -9 -29 f 3188
444 -9 -24 f 3189
722 -19 -23 f 3190
714 -4 0 n 3191
714 -7 1 n 0
268 -8 -15 f 3193
42 -9 -28 f 3194
444 -9 -23 f 3195
722 -19 -22 f 3196
714 -9 0 n 3197
714 -2 0 n 0
269 -8 -15 f 3199
43 -10 -29 f 3200
449 -11 -23 f 3201
737 -24 -23 f 3202
714 -3 0 n 3203
714 -5 0 n 0
270 -7 -14 f 3205
43 -10 -28 f 3206
449 -11 -22 f 3207
737 -24 -22 f 3208
714 -9 0 n 3209
714 -2 0 n 0
271 -8 -14 f 3211
43 -10 -29 f 3212
449 -11 -23 f 3213
723 -22 -22 f 3214
714 -3 0 n 3215
714 -5 0 n 0
272 -7 -13 f 3217
43 -10 -28 f 3218
449 -11 -22 f 3219
723 -22 -21 f 3220
714 -9 0 n 3221
714 -2 0 n 0
273 -7 -14 f 3223
44 -8 -29 f 3224
452 -8 -23 f 3225
853 -17 -19 f 3226
754 -27 -15 f 3227
714 -5 -1 n 3228
714 -2 0 n 0
274 -7 -15 f 3230
44 -8 -28 f 3231
452 -8 -22 f 3232
853 -17 -18 f 3233
753 -27 -14 f 3234
714 -5 0 n 0
275 -7 -16 f 3236
44 -8 -29 f 3237
452 -8 -23 f 3238
853 -17 -19 f 3239
752 -27 -16 f 3240
714 -3 -1 n 3241
714 -5 -2 n 0
276 -7 -15 f 3243
44 -8 -28 f 3244
452 -8 -22 f 3245
853 -17 -18 f 3246
751 -27 -14 f 3247
714 -9 0 n 3248
714 -1 0 n 0
45 -8 -30 n 3250
277 -8 -15 n 3251
456 -8 -24 n 3252
854 -3 -18 n 3253
827 -8 -27 n 3254
714 -8 0 n 3255
714 -5 -1 n 0
278 -8 -17 n 3257
45 -8 -31 n 3258
456 -8 -25 n 3259
854 -3 -19 n 3260
828 -8 -28 n 3261
714 -8 -1 n 3262
714 -5 -2 n 0
279 -8 -16 n 3264
45 -8 -30 n 3265
456 -8 -24 n 3266
854 -3 -18 n 3267
829 -9 -29 n 3268
714 -5 0 n 3269
714 -8 -1 n 0
280 -8 -16 n 3271
45 -8 -31 n 3272
456 -8 -25 n 3273
854 -3 -19 n 3274
830 -9 -29 n 3275
714 -5 0 n 3276
714 -8 -1 n 0
273 -8 -14 n 3278
44 -7 -29 n 3279
452 -7 -23 n 3280
853 2 -19 n 3281
751 12 -15 n 3282
714 -6 -1 n 3283
714 -8 0 n 0
274 -8 -15 n 3285
44 -7 -28 n 3286
452 -7 -22 n 3287
853 2 -18 n 3288
752 12 -15 n 3289
714 -6 0 n 0
275 -8 -16 n 3291
44 -7 -29 n 3292
452 -7 -23 n 3293
853 2 -19 n 3294
753 12 -15 n 3295
714 -8 -1 n 3296
714 -5 -2 n 0
276 -8 -15 n 3298
44 -7 -28 n 3299
452 -7 -22 n 3300
853 2 -18 n 3301
754 12 -14 n 3302
714 -2 0 n 3303
714 -10 0 n 0
269 -7 -15 n 3305
43 -6 -30 n 3306
449 -5 -24 n 3307
852 3 -21 n 3308
747 19 -27 n 3309
714 -6 0 n 3310
714 -8 0 n 0
270 -8 -14 n 3312
43 -6 -29 n 3313
449 -5 -23 n 3314
852 3 -20 n 3315
748 19 -26 n 3316
714 -9 0 n 3317
714 -2 0 n 0
271 -7 -14 n 3319
43 -6 -30 n 3320
449 -5 -24 n 3321
852 3 -21 n 3322
749 19 -29 n 3323
714 -6 0 n 3324
714 -8 0 n 0
272 -8 -13 n 3326
43 -6 -29 n 3327
449 -5 -23 n 3328
852 3 -20 n 3329
750 19 -28 n 3330
714 -9 0 n 3331
714 -2 0 n 0
265 -8 -15 n 3333
42 -7 -29 n 3334
444 -7 -24 n 3335
851 3 -22 n 3336
743 14 -36 n 3337
714 -5 0 n 3338
714 -8 -1 n 0
266 -8 -14 n 3340
42 -7 -28 n 3341
444 -7 -23 n 3342
851 3 -21 n 3343
744 14 -36 n 3344
714 -6 0 n 0
267 -7 -15 n 3346
42 -7 -29 n 3347
444 -7 -24 n 3348
851 3 -22 n 3349
745 14 -36 n 3350
714 -7 0 n 3351
714 -5 1 n 0
268 -7 -15 n 3353
42 -7 -28 n 3354
444 -7 -23 n 3355
851 3 -21 n 3356
746 14 -35 n 3357
714 -2 0 n 3358
714 -9 0 n 0
261 -8 -15 n 3360
739 -8 -35 n 3361
443 -8 -25 n 3362
41 -6 -30 n 3363
714 -4 0 n 3364
714 -7 -1 n 0
262 -7 -14 n 3366
740 -7 -32 n 3367
443 -8 -24 n 3368
41 -6 -29 n 3369
714 -7 0 n 3370
714 -4 0 n 0
263 -7 -15 n 3372
741 -7 -32 n 3373
443 -8 -25 n 3374
41 -6 -30 n 3375
714 -4 -1 n 3376
714 -8 0 n 0
264 -8 -14 n 3378
742 -7 -31 n 3379
443 -8 -24 n 3380
41 -6 -29 n 3381
714 -7 0 n 3382
714 -4 0 n 0
265 -8 -15 f 3384
42 -9 -29 f 3385
444 -9 -24 f 3386
851 -19 -22 f 3387
746 -30 -36 f 3388
714 -7 0 n 3389
714 -3 -1 n 0
266 -7 -14 f 3391
42 -9 -28 f 3392
444 -9 -23 f 3393
851 -19 -21 f 3394
745 -30 -35 f 3395
714 -5 0 n 0
267 -8 -15 f 3397
42 -9 -29 f 3398
444 -9 -24 f 3399
851 -19 -22 f 3400
744 -30 -37 f 3401
714 -4 0 n 3402
714 -6 1 n 0
268 -8 -15 f 3404
42 -9 -28 f 3405
444 -9 -23 f 3406
851 -19 -21 f 3407
743 -30 -35 f 3408
714 -9 0 n 3409
714 -2 0 n 0
269 -8 -15 f 3411
43 -10 -29 f 3412
449 -11 -23 f 3413
852 -19 -20 f 3414
750 -35 -28 f 3415
714 -3 0 n 3416
714 -5 0 n 0
270 -7 -14 f 3418
43 -10 -28 f 3419
449 -11 -22 f 3420
852 -19 -19 f 3421
749 -35 -27 f 3422
714 -9 0 n 3423
714 -2 0 n 0
271 -8 -14 f 3425
43 -10 -29 f 3426
449 -11 -23 f 3427
852 -19 -20 f 3428
748 -35 -26 f 3429
714 -3 0 n 3430
714 -5 0 n 0
272 -7 -13 f 3432
43 -10 -28 f 3433
449 -11 -22 f 3434
852 -19 -19 f 3435
747 -35 -25 f 3436
714 -9 0 n 3437
714 -2 0 n 0
273 -7 -14 f 3439
44 -8 -29 f 3440
453 -10 -23 f 3441
714 -5 -1 n 3442
714 -3 0 n 0
274 -7 -15 f 3444
44 -8 -28 f 3445
453 -10 -22 f 3446
714 -5 0 n 0
275 -7 -16 f 3448
44 -8 -29 f 3449
453 -10 -24 f 3450
714 -3 -1 n 3451
714 -6 -2 n 0
276 -7 -15 f 3453
44 -8 -28 f 3454
453 -10 -22 f 3455
714 -9 0 n 3456
714 -1 0 n 0
274 -7 -15 f 3458
44 -8 -28 f 3459
453 -10 -22 f 3460
724 -19 -20 f 3461
714 -5 0 n 0
45 -8 -30 n 3463
277 -8 -15 n 3464
455 -8 -24 n 3465
714 -8 0 n 3466
714 -5 -1 n 0
278 -8 -17 n 3468
45 -8 -31 n 3469
455 -8 -25 n 3470
714 -8 -1 n 3471
714 -5 -2 n 0
279 -8 -16 n 3473
45 -8 -30 n 3474
455 -8 -24 n 3475
714 -5 0 n 3476
714 -8 -1 n 0
280 -8 -16 n 3478
45 -8 -31 n 3479
455 -8 -25 n 3480
714 -5 0 n 3481
714 -7 -1 n 0
278 -8 -17 n 3483
45 -8 -31 n 3484
455 -8 -25 n 3485
725 -7 -25 f 3486
714 -8 -1 n 3487
714 -5 -2 n 0
273 -8 -14 n 3489
44 -7 -29 n 3490
453 -5 -23 n 3491
714 -6 -1 n 3492
714 -8 0 n 0
274 -8 -15 n 3494
44 -7 -28 n 3495
453 -5 -22 n 3496
714 -6 0 n 0
275 -8 -16 n 3498
44 -7 -29 n 3499
453 -5 -23 n 3500
714 -8 -1 n 3501
714 -5 -2 n 0
276 -8 -15 n 3503
44 -7 -28 n 3504
453 -5 -22 n 3505
714 -2 0 n 3506
714 -10 0 n 0
274 -8 -15 n 3508
44 -7 -28 n 3509
453 -5 -22 n 3510
724 4 -20 n 3511
714 -6 0 n 0
269 -7 -15 n 3513
43 -6 -30 n 3514
448 -5 -25 n 3515
714 -6 0 n 3516
714 -8 0 n 0
270 -8 -14 n 3518
43 -6 -29 n 3519
448 -5 -24 n 3520
714 -2 0 n 3521
714 -9 0 n 0
271 -7 -14 n 3523
43 -6 -30 n 3524
448 -5 -25 n 3525
714 -6 0 n 3526
714 -8 0 n 0
272 -8 -13 n 3528
43 -6 -29 n 3529
448 -5 -24 n 3530
714 -9 0 n 3531
714 -2 0 n 0
270 -8 -14 n 3533
43 -6 -29 n 3534
448 -5 -24 n 3535
723 6 -26 n 3536
714 -2 0 n 3537
714 -9 0 n 0
265 -8 -15 n 3539
42 -7 -29 n 3540
446 -7 -24 n 3541
714 -5 0 n 3542
714 -8 -1 n 0
266 -8 -14 n 3544
42 -7 -28 n 3545
446 -7 -23 n 3546
714 -6 0 n 0
267 -7 -15 n 3548
42 -7 -29 n 3549
446 -7 -24 n 3550
714 -7 0 n 3551
714 -5 1 n 0
268 -7 -15 n 3553
42 -7 -28 n 3554
446 -7 -23 n 3555
714 -2 0 n 3556
714 -9 0 n 0
266 -8 -14 n 3558
42 -7 -28 n 3559
446 -7 -23 n 3560
722 3 -25 n 3561
714 -6 0 n 0
261 -8 -15 n 3563
41 -6 -29 n 3564
441 -8 -26 n 3565
714 -4 0 n 3566
714 -7 -1 n 0
262 -7 -14 n 3568
41 -6 -28 n 3569
441 -8 -25 n 3570
714 -7 0 n 3571
714 -4 0 n 0
263 -7 -15 n 3573
41 -6 -29 n 3574
441 -8 -26 n 3575
714 -8 0 n 3576
714 -5 -1 n 0
264 -8 -14 n 3578
41 -6 -28 n 3579
441 -8 -25 n 3580
714 -4 0 n 3581
714 -7 0 n 0
262 -7 -14 n 3583
725 -9 -31 n 3584
41 -6 -28 n 3585
441 -8 -25 n 3586
714 -4 0 n 3587
714 -7 0 n 0
265 -8 -15 f 3589
42 -9 -29 f 3590
446 -9 -24 f 3591
714 -7 0 n 3592
714 -4 -1 n 0
266 -7 -14 f 3594
42 -9 -28 f 3595
446 -9 -23 f 3596
714 -5 0 n 0
267 -8 -15 f 3598
42 -9 -29 f 3599
446 -9 -24 f 3600
714 -4 0 n 3601
714 -7 1 n 0
268 -8 -15 f 3603
42 -9 -28 f 3604
446 -9 -23 f 3605
714 -9 0 n 3606
714 -2 0 n 0
266 -7 -14 f 3608
42 -9 -28 f 3609
446 -9 -23 f 3610
722 -19 -25 f 3611
714 -5 0 n 0
269 -8 -15 f 3613
43 -9 -29 f 3614
448 -10 -25 f 3615
714 -5 0 n 3616
714 -3 0 n 0
270 -7 -14 f 3618
43 -9 -28 f 3619
448 -10 -24 f 3620
714 -2 0 n 3621
714 -9 0 n 0
271 -8 -14 f 3623
43 -9 -29 f 3624
448 -10 -25 f 3625
714 -5 0 n 3626
714 -3 0 n 0
272 -7 -13 f 3628
43 -9 -28 f 3629
448 -10 -24 f 3630
714 -2 0 n 3631
714 -9 0 n 0
270 -7 -14 f 3633
43 -9 -28 f 3634
448 -10 -24 f 3635
723 -21 -26 f 3636
714 -9 0 n 3637
714 -2 0 n 0
712 -8 -12 n 3639
710 -7 -21 n 3640
47 -8 -26 n 3641
714 -7 -1 n 0
713 -8 -10 n 3643
711 -8 -14 n 3644
47 -8 -15 n 3645
714 -6 -1 n 0
685 -8 -14 n 3647
680 -9 -25 n 3648
47 -8 -25 n 3649
714 -4 0 n 3650
714 -8 -1 n 0
685 -8 -15 n 3652
680 -9 -26 n 3653
47 -8 -26 n 3654
714 -4 -1 n 3655
714 -8 -2 n 0
684 -9 -15 f 3657
46 -12 -27 f 3658
679 -12 -25 f 3659
714 -3 0 n 3660
714 -8 0 n 0
684 -12 -15 f 3662
46 -15 -27 f 3663
679 -15 -25 f 3664
714 -6 0 n 3665
714 -11 0 n 0
686 -8 -14 n 3667
41 -5 -23 n 3668
681 -6 -23 n 3669
714 -7 1 n 3670
714 -4 0 n 0
686 -8 -13 n 3672
41 -5 -22 n 3673
681 -6 -22 n 3674
714 -7 2 n 3675
714 -4 1 n 0
684 -7 -15 n 3677
46 -4 -27 n 3678
679 -4 -25 n 3679
714 -4 0 n 3680
714 -9 0 n 0
684 -4 -15 n 3682
46 -1 -27 n 3683
679 -1 -25 n 3684
714 -1 0 n 3685
714 -6 0 n 0
277 -8 -15 n 3687
45 -9 -29 n 3688
680 -10 -26 n 3689
872 -10 -20 n 3690
714 -8 0 n 3691
714 -5 -1 n 0
277 -8 -15 n 3693
45 -9 -29 n 3694
680 -10 -26 n 3695
873 -10 -25 n 3696
714 -8 0 n 3697
714 -5 -1 n 0
277 -8 -15 n 3699
45 -9 -29 n 3700
680 -10 -26 n 3701
874 -9 -30 n 3702
714 -8 0 n 3703
714 -5 -1 n 0
277 -8 -15 n 3705
45 -9 -29 n 3706
680 -10 -26 n 3707
875 -9 -31 n 3708
714 -8 0 n 3709
714 -5 -1 n 0
876 -8 -36 n 0
877 -8 -36 n 0
878 -9 -35 n 0
266 -8 -14 f 3714
43 -6 -29 n 3715
679 -7 -25 f 3716
872 -10 -20 n 3717
714 -6 0 n 0
266 -8 -14 f 3719
43 -6 -29 n 3720
679 -7 -25 f 3721
873 -10 -24 n 3722
714 -6 0 n 0
266 -8 -14 f 3724
43 -6 -29 n 3725
679 -7 -25 f 3726
874 -9 -30 n 3727
714 -6 0 n 0
266 -8 -14 f 3729
43 -6 -29 n 3730
679 -7 -25 f 3731
875 -9 -31 n 3732
714 -6 0 n 0
876 -8 -36 n 0
877 -8 -36 n 0
878 -9 -35 n 0
264 -8 -14 f 3737
41 -7 -27 n 3738
681 -8 -24 n 3739
872 -10 -20 n 3740
714 -8 0 n 3741
714 -5 0 n 0
264 -8 -14 f 3743
41 -7 -27 n 3744
681 -8 -24 n 3745
873 -10 -24 n 3746
714 -5 0 n 3747
714 -8 0 n 0
264 -8 -14 f 3749
41 -7 -27 n 3750
681 -8 -24 n 3751
874 -9 -30 n 3752
714 -8 0 n 3753
714 -5 0 n 0
264 -8 -14 f 3755
41 -7 -27 n 3756
681 -8 -24 n 3757
875 -9 -31 n 3758
714 -5 0 n 3759
714 -8 0 n 0
